---,0.001,0.001,0.001,deg,deg,0.001,km/s,km/s,mag,mag,mag,mag,0.001,0.001,mag,mag,0.001,mag,0.001,mag,0.001,km/s,km/s,0.001,0.001,mag,mag,0.001,mag,mag,0.001,deg,deg,mag,km/s,km/s,km/s,km/s,mag,mag,0.001,mag,mag,0.001,0.001,mag,mag,0.001,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Internal group ID; running tabulation of Nearby Galaxy Catalog groups","Group/cloud ID following Nearby Galaxies Catalog","Common name","Galactic longitude","Galactic latitude","Morphological type code","Heliocentric velocity","Galactocentric velocity, defined in RC3","Distance modulus assumed; given by Numerical Action model","Distance modulus measured for specific galaxy by a quality method","Differential Galactic reddening E(B-V); Schlegel, Finkbinder, Davis","Galactic absorption in B band","ratio minor to major axis from CCD image, B prefered","No. sources contributing to measure of axial ratio","Total B magnitude, Pierce/Tully source, uncorrected for obscuration","Total R magnitude, average of sources, uncorrected for obscuration","No. sources of R photometry","Total I magnitude, average of sources, uncorrected for obscuration","No. sources of I photometry","Aperture H magnitude H_{-0.5}, average of sources, uncorrected for obscuration","No. sources of H photometry","Heliocentric velocity from HI observation","HI profile linewidth at 20% of peak intensity","m=morphology quality code (1-3 good)","l=HI profile quality code (1-3 good)","Distance modulus from HI luminosity-linewidth correlation","RMS variance in measured Mod_HI","Summed weight: R=I: wt=1; B=H: wt=0.5","Distance modulus: Karachentsev Flat Galaxy: 2MASS K-linewidth correlation","B mag corrected for reddening","Reduced luminosity = logL-dmin/2.5 corrected by selection function for lost luminosity","Galactic longitude (global group parameter)","Galactic latitude (global group parameter)","Group reduced luminosity","Group heliocentric velocity","Group Galactocentric velocity: GSR frame in RC3","Group velocity in Local Sheet reference frame (2008, ApJ,676, 184)","Group velocity in Cosmic Microwave Background reference frame","Group distance modulus: average of all measures","Error in group distance modulus","No. luminosity-linewidth estimates for group","Group luminosity-linewidth modulus","Error in group luminosity-linewidth modulus","Weight assigned to group luminosity-linewidth distance estimate","No. distance estimates from Karachentsev 2MASS/Flat Galaxies sample","Group modulus from Karachentsev 2MASS/Flat Galaxies luminosity-linewidth sample","Error in Karachensev 2MASS/Flat Galaxies modulus","No. other good estimates of group modulus","Group modulus from other good measures","Error in group modulus from other good measures"
12412,852,"51 -7  4","N 1300",208.16,-55.20,4,1583,1510,31.46,0.00,0.030,0.08,0.66,2,11.22,9.97,1,9.40,2,8.81,1,1504,289,1,3,30.81,0.12,3.0,0.001,10.95,-2.14,208.07,-56.90,-1.61,1662,1592,1600,1505,32.08,0.13,3,30.97,0.23,3.6,0,0.00,0.00,1,32.28,0.13
12431,850,"51 -5  4","N 1302",219.68,-56.92,0,1704,1614,31.46,0.00,0.023,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.40,-2.32,218.69,-58.24,-1.76,1709,1623,1622,1564,31.50,0.13,3,31.31,0.24,3.3,0,0.00,0.00,1,31.53,0.13
12460,238,"14 14 14","N 1311",265.30,-52.66,9,570,424,27.70,28.58,0.022,0.00,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.26,-3.12,265.30,-52.66,-5.00,570,424,386,499,28.58,0.16,0,0.00,0.00,0.0,0,0.00,0.00,1,28.58,0.16
12466,869,"51-13 13",N1299,189.20,-48.99,3,2319,2284,32.21,0.00,0.046,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.05,-3.27,185.71,-48.48,-2.40,2232,2206,2235,2057,32.45,0.41,0,0.00,0.00,0.0,1,32.45,0.41,0,0.00,0.00
12471,344,"18  0  1","N 1282",150.73,-13.34,-5,2200,2301,32.38,0.00,0.166,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.00,-2.82,150.73,-13.34,-2.67,2200,2301,2375,2040,33.11,0.41,0,0.00,0.00,0.0,1,33.11,0.41,0,0.00,0.00
12480,775,"42  0 18","U 2620",129.17,19.23,9,2244,2411,32.47,0.00,0.267,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.30,-2.92,129.66,19.28,-2.49,2285,2450,2528,2213,32.91,0.29,1,32.96,0.41,1.0,1,32.87,0.41,0,0.00,0.00
12514,341,"17  0  0","U 2684",166.33,-32.74,10,357,392,28.80,0.00,0.139,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.48,-3.20,166.33,-32.74,-5.00,357,392,446,179,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
12559,847,"51  0  1",N1306,218.80,-56.58,3,1425,1335,31.57,0.00,0.016,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.55,-3.21,221.62,-57.33,-2.56,1383,1290,1286,1247,31.39,0.36,1,31.39,0.36,1.3,0,0.00,0.00,0,0.00,0.00
12569,843,"51 -1  1","N 1310",240.10,-57.03,5,1715,1597,31.49,0.00,0.023,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.85,-3.32,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
12626,867,"51-12 11","N 1309",202.21,-53.15,4,2138,2075,31.82,0.00,0.040,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.90,-2.48,202.65,-52.75,-2.30,2052,1987,1999,1902,31.91,0.41,0,0.00,0.00,0.0,1,31.91,0.41,0,0.00,0.00
12651,843,"51 -1  1","N 1316",240.16,-56.68,-2,1774,1655,31.49,31.66,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,9.67,-1.65,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
12653,843,"51 -1  1","N 1317",239.97,-56.68,1,1943,1824,31.49,0.00,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.94,-2.55,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
12664,882,"51  0  0",0320-11,196.27,-51.06,7,2808,2756,32.70,0.00,0.074,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.97,-2.73,196.27,-51.06,-2.73,2808,2756,2774,2650,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
12671,849,"51 -4  4","N 1315",211.87,-55.08,-1,1730,1650,31.19,0.00,0.026,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.85,-3.32,216.34,-52.51,-1.29,1509,1415,1413,1389,31.78,0.12,4,31.31,0.21,4.8,1,31.69,0.41,5,31.91,0.13
12701,852,"51 -7  4",0321-19,209.32,-54.44,9,1838,1762,31.46,0.00,0.033,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.60,-3.20,208.07,-56.90,-1.61,1662,1592,1600,1505,32.08,0.13,3,30.97,0.23,3.6,0,0.00,0.00,1,32.28,0.13
12709,843,"51 -1  1","N 1326",238.76,-56.52,-1,1363,1245,31.49,0.00,0.019,0.00,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.30,-2.30,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
12737,849,"51 -4  4","N 1325",212.26,-54.81,4,1595,1514,31.19,0.00,0.022,0.04,0.34,2,12.03,11.06,1,10.50,2,9.60,1,1508,350,1,3,31.50,0.20,3.0,0.001,11.78,-2.49,216.34,-52.51,-1.29,1509,1415,1413,1389,31.78,0.12,4,31.31,0.21,4.8,1,31.69,0.41,5,31.91,0.13
12754,849,"51 -4  4",0322-21,212.02,-54.69,7,1333,1252,31.19,0.00,0.025,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.39,-3.13,216.34,-52.51,-1.29,1509,1415,1413,1389,31.78,0.12,4,31.31,0.21,4.8,1,31.69,0.41,5,31.91,0.13
12756,883,"51  0  0","N 1320",186.34,-46.14,1,3000,2971,32.84,0.00,0.047,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.48,-3.29,186.34,-46.14,-3.29,3000,2971,2999,2836,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
12769,843,"51 -1  1",0323-37,239.75,-56.27,-2,2066,1946,31.49,0.00,0.022,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.10,-3.82,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
12783,843,"51 -1  1",0323-362,238.52,-56.31,9,1836,1718,31.49,31.04,0.016,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.26,-3.08,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
12788,843,"51 -1  1",0323-363,238.54,-56.25,9,1012,894,31.49,0.00,0.017,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.64,-2.83,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
12798,867,"51-12 11",0323-16,204.01,-52.75,8,1878,1810,31.82,0.00,0.040,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31.91,13.60,-3.16,202.65,-52.75,-2.30,2052,1987,1999,1902,31.91,0.41,0,0.00,0.00,0.0,1,31.91,0.41,0,0.00,0.00
12807,951,"53 -8  7",0324-52,265.51,-51.63,7,1068,919,30.52,0.00,0.017,0.00,0.53,1,0.001,0.001,0.001,11.76,1,0.001,0.001,915,201,1,3,31.21,0.00,1.0,0.001,12.50,-2.80,264.25,-51.33,-2.31,1075,925,886,1013,30.91,0.28,2,30.91,0.28,2.3,0,0.00,0.00,0,0.00,0.00
12825,843,"51 -1  1","I 1919",232.30,-56.23,-3,1179,1068,31.49,31.31,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.90,-3.34,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
12838,849,"51 -4  4","N 1332",212.20,-54.36,-3,1564,1482,31.19,31.80,0.033,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.17,-2.25,216.34,-52.51,-1.29,1509,1415,1413,1389,31.78,0.12,4,31.31,0.21,4.8,1,31.69,0.41,5,31.91,0.13
12846,849,"51 -4  4","N 1331",212.25,-54.32,-5,1326,1244,31.19,31.80,0.030,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.17,-3.45,216.34,-52.51,-1.29,1509,1415,1413,1389,31.78,0.12,4,31.31,0.21,4.8,1,31.69,0.41,5,31.91,0.13
12848,843,"51 -1  1","N 1336",237.35,-56.05,-3,1458,1340,31.49,31.38,0.012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.41,-3.15,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
12868,776,"42  0 18",0321+72,133.91,13.38,10,2074,2232,32.47,0.00,0.462,0.001,0.19,1,0.001,0.001,0.001,12.84,1,0.001,0.001,2232,266,6,3,31.78,0.00,1.0,0.001,13.16,-2.87,134.54,13.57,-2.22,2181,2337,2416,2093,31.82,0.29,2,31.82,0.29,2.0,0,0.00,0.00,0,0.00,0.00
12876,140,"12-20 19","U 2729",136.39,9.87,0.001,1936,2088,31.82,0.00,0.758,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.38,-2.27,136.64,9.92,-1.97,1807,1959,2039,1707,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
12878,843,"51 -1  1",E358-06,235.22,-55.95,-4,1349,1234,31.49,31.35,0.009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.18,-3.45,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
12911,843,"51 -1  1","N 1341",239.85,-55.64,2,1866,1744,31.49,0.00,0.015,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.00,-2.98,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
12916,931,"52  0  0","N 1337",193.56,-48.51,6,1246,1199,30.88,0.00,0.067,0.16,0.24,2,12.42,10.95,1,10.74,2,9.98,1,1192,266,1,2,30.38,0.18,3.0,0.001,11.52,-2.41,193.56,-48.51,-2.41,1246,1199,1220,1092,30.38,0.36,1,30.38,0.36,1.3,0,0.00,0.00,0,0.00,0.00
12917,844,"51  2  1","N 1339",231.24,-55.78,-4,1293,1182,31.24,31.61,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.60,-2.82,229.60,-55.01,-1.92,1175,1073,1061,1073,31.50,0.13,4,31.56,0.22,4.2,2,31.18,0.30,3,31.57,0.16
12922,860,"51  0  4",0325-17,206.25,-52.63,-4,1834,1761,31.59,0.00,0.039,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.77,-3.65,206.25,-52.63,-3.65,1834,1761,1769,1693,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
12923,844,"51  2  1","N 1344",229.09,-55.67,-5,1235,1127,31.24,31.48,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.25,-2.28,229.60,-55.01,-1.92,1175,1073,1061,1073,31.50,0.13,4,31.56,0.22,4.2,2,31.18,0.30,3,31.57,0.16
12952,843,"51 -1  1",0326-35,236.36,-55.62,4,1351,1233,31.49,0.00,0.016,0.00,0.21,2,0.001,0.001,0.001,12.33,2,0.001,0.001,1236,226,3,3,31.53,0.00,1.0,31.48,13.54,-3.19,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
12956,872,"51 14 14","N 1338",198.70,-50.23,3,2475,2417,32.55,0.00,0.096,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.37,-2.93,198.70,-50.23,-2.93,2475,2417,2432,2328,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
12979,849,"51 -4  4","N 1345",206.98,-52.50,4,1527,1452,31.19,0.00,0.039,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.98,-3.37,216.34,-52.51,-1.29,1509,1415,1413,1389,31.78,0.12,4,31.31,0.21,4.8,1,31.69,0.41,5,31.91,0.13
12981,867,"51-12 11",0327-15,203.17,-51.46,9,1890,1823,31.82,0.00,0.086,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.16,-2.98,202.65,-52.75,-2.30,2052,1987,1999,1902,31.91,0.41,0,0.00,0.00,0.0,1,31.91,0.41,0,0.00,0.00
13028,843,"51 -1  1","N 1351",235.78,-55.27,-3,1491,1373,31.49,31.61,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.80,-2.90,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
13036,1005,"53  0  0",0329-544,267.53,-50.16,0.001,1976,1822,32.02,0.00,0.016,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.00,-9.99,267.53,-50.16,-9.99,1976,1822,1780,1921,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
13059,843,"51 -1  1","N 1350",233.59,-55.18,2,1786,1671,31.49,0.00,0.013,0.001,0.47,1,0.001,0.001,0.001,9.14,1,0.001,0.001,1786,411,1,2,31.11,0.00,1.0,0.001,11.16,-2.24,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
13089,844,"51  2  1",0329-30,227.66,-54.93,8,1193,1085,31.24,0.00,0.016,0.00,0.71,1,0.001,0.001,0.001,12.80,1,0.001,0.001,1086,150,1,3,31.86,0.00,1.0,0.001,13.77,-3.28,229.60,-55.01,-1.92,1175,1073,1061,1073,31.50,0.13,4,31.56,0.22,4.2,2,31.18,0.30,3,31.57,0.16
13090,951,"53 -8  7",0330-52,263.65,-51.18,3,1079,928,30.52,0.00,0.016,0.00,0.51,2,12.11,10.98,1,10.52,2,9.67,1,915,246,1,3,30.68,0.08,3.0,0.001,11.70,-2.48,264.25,-51.33,-2.31,1075,925,886,1013,30.91,0.28,2,30.91,0.28,2.3,0,0.00,0.00,0,0.00,0.00
13106,844,"51  2  1",0329-31,229.62,-54.93,10,972,861,31.24,0.00,0.020,0.00,0.80,1,0.001,0.001,0.001,12.72,1,0.001,0.001,853,112,4,3,31.31,0.00,1.0,0.001,14.00,-3.38,229.60,-55.01,-1.92,1175,1073,1061,1073,31.50,0.13,4,31.56,0.22,4.2,2,31.18,0.30,3,31.57,0.16
13108,849,"51 -4  4","N 1353",212.01,-52.90,3,1517,1433,31.19,0.00,0.033,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.83,-2.51,216.34,-52.51,-1.29,1509,1415,1413,1389,31.78,0.12,4,31.31,0.21,4.8,1,31.69,0.41,5,31.91,0.13
13115,332,"17  6  6","U 2773",148.81,-6.84,9,242,353,28.32,26.69,0.564,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.70,-3.68,148.81,-6.84,-5.00,242,353,428,104,26.69,0.13,0,0.00,0.00,0.0,0,0.00,0.00,1,26.69,0.13
13121,140,"12-20 19","U 2765",136.89,9.97,0.001,1679,1830,31.82,0.00,0.782,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.38,-2.27,136.64,9.92,-1.97,1807,1959,2039,1707,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
13122,861,"51  0  4",0330-17,207.28,-51.83,9,1961,1885,31.59,0.00,0.059,0.13,0.43,1,0.001,0.001,0.001,13.79,1,0.001,0.001,1879,160,6,3,32.07,0.00,1.0,0.001,13.26,-3.05,207.28,-51.83,-3.05,1961,1885,1892,1826,32.07,0.41,1,32.07,0.41,1.0,0,0.00,0.00,0,0.00,0.00
13157,843,"51 -1  1",E358-15,235.66,-54.75,9,1387,1267,31.49,0.00,0.016,0.001,0.68,2,0.001,0.001,0.001,13.95,2,0.001,0.001,1268,95,8,3,31.04,0.00,1.0,0.001,14.49,-3.58,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
13163,239,"14 14 14",0331-50,261.28,-51.54,9,639,490,27.70,28.90,0.011,0.00,0.25,1,0.001,0.001,0.001,12.12,1,0.001,0.001,492,156,3,3,30.13,0.00,1.0,29.67,13.26,-3.12,261.28,-51.54,-5.00,639,490,453,575,29.08,0.14,1,30.13,0.41,1.0,1,29.67,0.41,1,28.90,0.16
13166,866,"51-11 11","N 1357",201.55,-49.97,2,2035,1969,32.02,0.00,0.043,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.34,-2.62,202.55,-48.31,-1.87,2086,2016,2027,1957,31.80,0.30,0,0.00,0.00,0.0,2,31.80,0.30,0,0.00,0.00
13171,862,"51  0  4",IC1952,216.82,-53.42,4,1809,1716,31.59,0.001,0.026,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31.50,12.51,-2.75,213.23,-52.65,-2.31,1852,1765,1766,1726,31.50,0.41,0,0.00,0.00,0.0,1,31.50,0.41,0,0.00,0.00
13172,849,"51 -4  4",0331-214,213.38,-52.84,5,1480,1393,31.19,0.00,0.031,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.92,-3.35,216.34,-52.51,-1.29,1509,1415,1413,1389,31.78,0.12,4,31.31,0.21,4.8,1,31.69,0.41,5,31.91,0.13
13179,843,"51 -1  1","N 1365",237.94,-54.57,3,1639,1517,31.49,31.27,0.021,0.00,0.70,3,10.12,8.93,1,8.37,3,7.21,1,1532,404,1,2,31.16,0.03,3.0,0.001,9.88,-1.73,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
13184,862,"51  0  4",0331-21,213.23,-52.72,7,1860,1773,31.59,0.00,0.030,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.20,-2.62,213.23,-52.65,-2.31,1852,1765,1766,1726,31.50,0.41,0,0.00,0.00,0.0,1,31.50,0.41,0,0.00,0.00
13190,863,"51  0  4","N 1359",210.21,-52.13,9,1976,1894,31.59,0.00,0.037,0.08,0.70,1,0.001,0.001,0.001,12.28,1,0.001,0.001,1887,235,4,3,32.95,0.00,1.0,0.001,12.38,-2.70,210.21,-52.13,-2.70,1976,1894,1898,1846,32.95,0.41,1,32.95,0.41,1.0,0,0.00,0.00,0,0.00,0.00
13194,862,"51  0  4",0331-21,213.25,-52.72,2,1863,1776,31.59,0.00,0.030,0.03,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.48,-3.54,213.23,-52.65,-2.31,1852,1765,1766,1726,31.50,0.41,0,0.00,0.00,0.0,1,31.50,0.41,0,0.00,0.00
13197,844,"51  2  1","N 1366",229.43,-54.49,-2,1231,1120,31.24,31.62,0.017,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.87,-2.92,229.60,-55.01,-1.92,1183,1073,1061,1073,31.50,0.13,4,31.56,0.22,4.2,2,31.18,0.30,3,31.57,0.16
13252,843,"51 -1  1","N 1373",236.27,-54.36,-5,1378,1257,31.49,31.78,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.12,-3.43,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
13255,849,"51 -4  4","N 1371",218.92,-53.36,1,1472,1375,31.19,0.00,0.027,0.00,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.43,-2.35,216.34,-52.51,-1.29,1509,1415,1413,1389,31.78,0.12,4,31.31,0.21,4.8,1,31.69,0.41,5,31.91,0.13
13266,843,"51 -1  1","N 1375",236.43,-54.30,-2,740,619,31.49,31.58,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.20,-3.06,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
13267,843,"51 -1  1","N 1374",236.37,-54.28,-4,1251,1130,31.49,31.48,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.30,-2.70,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
13281,843,"51 -1  1",E358-25,231.63,-54.22,-3,1456,1341,31.49,31.25,0.012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.95,-3.36,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
13283,862,"51  0  4",0333-21,213.19,-52.28,8,1803,1715,31.59,0.00,0.028,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.97,-3.33,213.23,-52.65,-2.31,1852,1765,1766,1726,31.50,0.41,0,0.00,0.00,0.0,1,31.50,0.41,0,0.00,0.00
