"The Catalogue of Principal Galaxies (PGC) Number","Revised Flat Galaxy Catalogue #, Bull. Spec. Astrophys. Obs. 47,5,1999","Original Flat Galaxy Catalog number","PGC number used by Karachentsev et al. astro-ph/0305566","Galactic longitude","Galactic latitude","Position angle; north thru east","Major blue diameter in arcmin on POSS-I system; conv. from ESO/SERC aj: ao=0.8078aj","Minor blue diameter in arcmin on POSS-I system; conv. from ESO/SERC bj: bo=0.7827bj","Major red diameter in arcmin on POSS-I system; conv. from ESO/SERC ar: ae=0.8640ar","Minor red diameter in arcmin on POSS-I system; conv. from ESO/SERC br: be=0.9730br","Total blue magnitude calculated by formula in ref; depends on size, type, surface br, and color index","Galactic extinction in B band","Morphological type in RC3 system","Index of asymmetry: 0=little to 2=pronounced","Index of surface brightness: I=high to IV=very low","Number of neighbors with size from ao/2 to 2ao within R=10ao","Notes describe morph peculiarities or galaxy environment","Right Ascention (J2000)","Declination (J2000)"
5866,341,172,5866,165.88,-74.65,57,1.56,0.20,1.56,0.21,15.6,0.07,bc,0,II,0,0.001,1.576388888890000,-15.503888888900000
5934,345,176,5934,156.40,-69.88,38,0.82,0.11,0.85,0.11,16.4,0.11,c,0,I,5,"Interact. pair at 3.0 S",1.597722222220000,-9.946111111110000
5954,346,177,5954,140.58,-50.79,75,0.82,0.11,0.73,0.11,16.7,0.34,dm,2,III,0,0.001,1.606722222220000,10.536111111100000
5967,347,180E,5967,300.59,-36.58,32,1.53,0.17,1.99,0.24,15.5,0.42,d,0,II,1,"Faint ends",1.609388888890000,-80.346944444400000
5969,348,175E,5969,272.10,-73.26,68,0.81,0.10,0.86,0.11,16.5,0.07,c,0,I,2,0.001,1.609805555560000,-41.051111111100000
5972,349,174E,5972,190.60,-78.69,122,0.89,0.07,0.80,0.12,17.0,0.05,c,0,II,0,0.001,1.611333333330000,-22.385000000000000
5973,350,176E,5973,287.26,-63.54,93,0.89,0.09,0.95,0.10,16.7,0.11,c,0,II,4,"In pair? Neighbour at  1.7 N",1.611805555560000,-52.184444444400000
5994,351,178E,5994,287.68,-62.96,59,0.83,0.10,0.87,0.12,16.5,0.12,c,0,I,0,"Knot at SW end ?",1.617694444440000,-52.792222222200000
6045,355,179,6045,134.21,-29.36,101,1.83,0.19,1.83,0.19,15.4,0.19,d,0,II,1,0.001,1.634333333330000,32.493055555600000
6074,356,180,6074,135.25,-33.02,50,1.53,0.18,1.41,0.17,15.9,0.27,bc,2,III,0,0.001,1.642000000000000,28.723055555600000
6108,357,181,6108,159.26,-69.94,78,1.23,0.11,1.01,0.11,16.3,0.09,d,0,II,0,0.001,1.652527777780000,-10.503888888900000
6136,358,181E,6136,280.64,-68.01,67,2.08,0.24,1.95,0.24,15.3,0.06,ab,0,II,2,"Very faint ends",1.658666666670000,-46.986111111100000
6162,362,183E,6162,222.41,-79.19,42,1.36,0.16,1.16,0.11,16.0,0.06,c,0,II,0,"Faint ends",1.666527777780000,-28.383888888900000
6189,363,183,6189,134.25,-27.17,55,2.02,0.28,1.88,0.27,14.9,0.17,c,1,I,2,0.001,1.674277777780000,34.623888888900000
6193,364,184,6193,140.38,-46.68,132,1.12,0.11,0.94,0.12,16.5,0.26,c,0,II,1,"Two-layers. Compan.at 2.0 S",1.675000000000000,14.523055555600000
6230,366,185E,6230,211.38,-78.86,108,1.25,0.16,1.26,0.17,15.9,0.06,cd,0,II,1,0.001,1.686722222220000,-26.278888888900000
6256,367,186E,6256,298.69,-41.44,152,1.27,0.17,1.36,0.17,15.6,0.24,cd,0,I,0,"Knots. LSB compan.to N",1.697222222220000,-75.268333333300000
6349,371,187E,6349,215.02,-78.39,174,1.41,0.09,1.45,0.11,16.3,0.07,cd,0,II,0,"Curved faint ends",1.726666666670000,-26.948055555600000
6394,375,189E,6394,267.08,-72.65,32,1.02,0.14,0.97,0.16,16.1,0.07,bc,1,I,1,"Faint slightly curved N end",1.743805555560000,-40.570000000000000
6422,376,191E,6422,270.01,-71.54,48,0.90,0.12,0.71,0.12,16.5,0.06,bc,0,I,4,0.001,1.749805555560000,-41.993888888900000
6434,377,192,6434,135.98,-29.38,124,1.12,0.11,1.19,0.12,16.4,0.18,cd,1,III,1,0.001,1.752750000000000,32.123611111100000
6610,380,194E,0.001,283.65,-62.90,152,0.70,0.08,0.70,0.09,17.0,0.15,c,0,II,3,"2 companions at 0.6 W",1.801194444440000,-52.051111111100000
6699,384,195,6699,136.87,-28.71,38,5.82,0.65,5.71,0.73,13.3,0.19,d,0,II,0,0.001,1.825388888890000,32.588888888900000
6770,386,198E,6770,287.05,-58.98,144,1.14,0.16,1.26,0.19,15.9,0.10,cd,0,II,1,Diffuse,1.839166666670000,-56.295833333300000
6779,388,196E,6779,222.50,-76.86,15,1.11,0.14,1.02,0.11,16.2,0.06,c,0,II,0,"Slightly curved",1.842611111110000,-28.533055555600000
6785,389,197E,6785,245.17,-75.52,110,1.31,0.13,1.02,0.11,16.2,0.07,bc,0,II,1,0.001,1.843333333330000,-34.068888888900000
6854,392,201E,6854,289.59,-55.68,131,1.20,0.10,1.28,0.10,16.3,0.09,d,0,II,0,"Very curved faint ends",1.858472222220000,-59.860000000000000
6867,393,199,6867,134.77,-19.65,155,1.23,0.12,1.34,0.15,16.1,0.22,c,0,II,1,0.001,1.859222222220000,41.837222222200000
6917,395,202E,6917,242.70,-75.45,133,1.37,0.17,1.30,0.17,15.9,0.09,bc,1,II,2,"In triplet. Curved. Knots",1.868611111110000,-33.530000000000000
6966,396,201,6966,157.36,-62.14,160,3.25,0.37,3.19,0.39,14.6,0.12,bc,0,III,0,"Dust lane.2 compans at 2.23 NW",1.880277777780000,-3.447500000000000
7026,404,205E,7026,285.96,-59.02,69,1.07,0.13,1.14,0.15,16.1,0.10,dm,0,II,1,0.001,1.896861111110000,-56.009722222200000
7088,406,206,7088,143.85,-43.21,77,1.34,0.17,1.23,0.17,16.0,0.19,bc,1,III,2,Two-layers,1.910416666670000,17.075833333300000
7150,407,208,7150,147.71,-49.76,177,1.57,0.17,1.57,0.21,15.7,0.36,bc,0,II,0,0.001,1.921000000000000,10.013888888900000
7218,409,212,7218,155.63,-59.04,146,0.92,0.11,0.95,0.12,16.5,0.13,c,1,II,1,0.001,1.932972222220000,-0.327500000000000
7243,412,213,7243,151.62,-54.57,92,2.05,0.22,2.02,0.22,15.4,0.19,bc,0,III,1,Two-layers,1.938055555560000,4.647222222220000
7244,411,206E,7244,200.43,-74.73,155,2.23,0.27,2.13,0.24,14.9,0.06,b,0,I,0,0.001,1.937805555560000,-22.901111111100000
7254,414,210,7254,136.95,-23.65,123,1.30,0.15,1.40,0.15,15.9,0.27,c,0,II,2,"Companion at 3.5 N",1.939166666670000,37.452222222200000
7281,415,215,7281,144.20,-42.45,153,1.03,0.09,0.90,0.09,16.8,0.22,d,0,III,2,0.001,1.945194444440000,17.711111111100000
7306,416,216,7306,157.68,-60.40,93,2.35,0.33,2.02,0.36,14.9,0.11,b,0,II,1,Two-layers,1.948138888890000,-2.018888888890000
7426,417,208E,7426,284.93,-58.71,13,1.18,0.12,1.05,0.18,16.2,0.10,ab,0,I,0,0.001,1.969805555560000,-56.023055555600000
7441,418,217,7441,142.80,-38.15,125,1.12,0.15,1.01,0.15,16.2,0.41,dm,2,III,0,"Blue. Knotty. Diffuse N side",1.975194444440000,22.116111111100000
7478,419,219,7478,151.92,-53.44,170,1.29,0.13,1.21,0.12,16.1,0.17,d,0,II,0,0.001,1.981472222220000,5.594722222220000
7504,420,218,7504,137.95,-24.83,108,1.77,0.22,1.66,0.22,15.3,0.41,c,0,I,3,0.001,1.985194444440000,36.062777777800000
7519,421,222,7519,144.84,-41.96,5,1.02,0.12,0.95,0.13,16.4,0.24,bc,2,II,0,"Curved.Compact compan.at 4.5NW",1.988361111110000,18.010000000000000
7531,423,209E,7531,284.12,-59.08,50,0.80,0.09,0.74,0.11,17.0,0.12,c,0,III,0,0.001,1.991138888890000,-55.491944444400000
7545,425,223,7545,139.38,-28.60,137,1.70,0.19,1.59,0.18,15.7,0.25,cd,1,III,1,0.001,1.995138888890000,32.082777777800000
7596,429,225,7596,146.18,-43.77,106,0.94,0.11,0.81,0.11,16.6,0.21,cd,1,II,0,0.001,2.007055555560000,15.963611111100000
7690,433,212E,7690,232.31,-74.16,5,0.99,0.09,1.06,0.11,16.6,0.07,bc,0,II,2,"Slightly S-shaped.Sharp nucl.",2.026388888890000,-31.283888888900000
7773,435,217E,7773,299.01,-36.91,4,1.90,0.22,2.08,0.27,15.1,0.33,c,0,I,1,"Dust lane.Knots.Interacting",2.042111111110000,-79.671111111100000
7806,438,231,7806,170.34,-65.70,36,2.80,0.18,2.80,0.20,15.1,0.10,d,1,II,0,"Blue associations",2.050527777780000,-9.656388888890000
7812,439,230,7812,155.88,-55.61,14,2.07,0.29,1.74,0.30,15.0,0.14,bc,1,I,1,0.001,2.051472222220000,2.614166666670000
7833,441,229,7833,135.09,-12.71,90,1.66,0.17,1.53,0.21,15.8,0.85,c,1,III,2,0.001,2.060055555560000,48.455000000000000
7933,444,235,7933,136.90,-17.71,118,1.57,0.15,1.33,0.18,15.9,0.31,c,0,II,1,0.001,2.082055555560000,43.155000000000000
7944,446,236,7944,143.53,-35.24,1,1.37,0.12,1.12,0.12,16.4,0.34,cd,2,III,0,0.001,2.086166666670000,24.666388888900000
7959,448,218E,7959,278.32,-61.83,54,0.78,0.09,0.79,0.09,16.8,0.07,c,0,II,0,0.001,2.088333333330000,-51.626111111100000
7960,447,237,7960,141.42,-30.20,151,1.02,0.11,1.09,0.11,16.3,0.27,d,0,II,0,0.001,2.087472222220000,30.005000000000000
7979,450,241,7979,159.99,-58.12,150,1.29,0.17,1.37,0.18,16.0,0.13,c,2,III,0,0.001,2.094527777780000,-0.694722222222000
7991,452,239,7991,134.79,-10.41,151,1.52,0.17,1.39,0.16,15.8,0.76,c,1,II,0,0.001,2.098555555560000,50.737500000000000
7992,451,221E,7992,292.65,-47.75,152,0.73,0.09,0.67,0.10,16.8,0.13,c,0,I,1,0.001,2.096083333330000,-67.870277777800000
8031,453,220E,8031,278.55,-61.41,57,1.45,0.20,1.53,0.24,15.6,0.07,cd,0,II,0,Diffuse,2.105722222220000,-52.028055555600000
8033,454,219E,8033,247.58,-71.66,137,0.90,0.10,0.87,0.11,16.6,0.05,c,0,II,2,"Near small neighbour",2.106194444440000,-36.300000000000000
8056,457,244,8056,158.22,-56.12,110,1.29,0.13,1.18,0.18,16.2,0.11,d,0,III,1,0.001,2.110277777780000,1.515833333330000
8082,459,246,8082,137.15,-16.99,102,1.43,0.17,1.18,0.17,16.0,0.33,d,1,III,1,0.001,2.122666666670000,43.773055555600000
8217,462,248,8217,139.68,-23.12,179,1.43,0.17,1.40,0.17,15.7,0.20,dm,1,II,1,"Bluish.Diffuse condensations",2.153250000000000,37.210555555600000
8237,463,249,8237,139.72,-23.06,27,2.13,0.11,1.62,0.11,16.1,0.20,d,0,III,1,Two-layers,2.157388888890000,37.258055555600000
8287,465,251,8287,138.39,-18.93,62,1.20,0.10,0.93,0.10,16.6,0.33,d,1,III,2,"Bright el.gal.1.0 at 2.5 S",2.170000000000000,41.562222222200000
8325,467,223E,8325,203.29,-71.51,6,1.37,0.13,1.24,0.13,16.1,0.06,cd,1,II,3,"Very faint curved ends",2.177722222220000,-22.651944444400000
8353,469,256,8353,155.51,-51.10,135,0.90,0.08,0.73,0.09,17.0,0.22,d,1,III,0,0.001,2.184388888890000,6.666944444440000
8379,471,257,8379,149.56,-42.80,3,0.96,0.12,0.87,0.12,16.4,0.43,cd,0,II,4,"Member of quartette",2.190361111110000,15.899166666700000
8400,473,258,8400,169.32,-61.90,33,1.79,0.21,1.18,0.20,15.7,0.11,bc,1,II,3,"Fluffy S end",2.195527777780000,-6.490000000000000
8499,474,226E,8499,293.68,-44.72,107,1.52,0.16,1.64,0.18,15.6,0.14,cd,0,I,1,"V.f.ends. Neighbour at 2.5 N",2.220222222220000,-70.913333333300000
8530,476,261,8530,153.70,-47.57,76,1.16,0.15,1.12,0.15,16.2,0.52,cd,1,III,0,Curved,2.226750000000000,10.336111111100000
8548,478,225E,8548,285.13,-54.48,79,1.36,0.16,1.14,0.19,16.1,0.14,d,0,III,0,Diffuse,2.231388888890000,-59.704444444400000
8618,485,267,8618,149.17,-39.88,22,1.09,0.09,1.12,0.11,16.5,0.55,cd,1,II,0,0.001,2.256333333330000,18.676944444400000
8621,483,264,8621,136.52,-10.80,40,1.25,0.12,1.14,0.13,16.4,1.01,cd,0,III,0,0.001,2.255638888890000,49.843888888900000
8624,484,266,8624,147.43,-36.84,127,1.79,0.11,1.79,0.13,15.9,0.44,d,1,II,0,0.001,2.255777777780000,22.006388888900000
8751,493,232E,8751,202.32,-69.70,153,0.95,0.09,0.95,0.10,16.6,0.08,cd,0,II,0,0.001,2.293305555560000,-21.765000000000000
8754,492,272,8754,179.44,-64.46,85,1.22,0.17,1.22,0.18,15.8,0.13,dm,1,II,1,0.001,2.292361111110000,-11.518888888900000
8762,494,273,8762,172.16,-61.15,92,1.34,0.16,1.25,0.16,15.8,0.11,dm,2,II,4,Comet-like,2.296805555560000,-6.832500000000000
8788,497,275,8788,153.25,-44.50,48,1.79,0.24,1.79,0.31,15.1,0.65,dm,2,I,1,0.001,2.304194444440000,13.203888888900000
8913,501,278,8913,158.58,-49.80,56,2.80,0.31,2.58,0.27,14.7,0.29,dm,1,II,0,0.001,2.341472222220000,6.810555555560000
8937,502,235E,8937,205.49,-69.23,95,0.87,0.09,0.60,0.09,17.1,0.08,c,0,III,0,0.001,2.350611111110000,-22.673055555600000
8938,503,236E,8938,287.42,-50.72,77,1.27,0.17,1.28,0.18,15.7,0.10,c,0,I,1,"Dust. Knots",2.350861111110000,-63.625000000000000
8964,504,280,8964,153.58,-43.25,162,2.52,0.22,2.46,0.22,15.0,0.70,d,1,II,0,0.001,2.358666666670000,14.198055555600000
8982,507,281,8982,152.01,-40.84,76,1.48,0.17,1.42,0.20,15.6,0.74,c,1,I,0,"Condensation on right side",2.363472222220000,16.875000000000000
8984,506,279,8984,143.95,-26.14,123,2.13,0.24,2.15,0.27,15.1,0.35,cd,1,II,2,0.001,2.362805555560000,33.021111111100000
9028,509,283,9028,166.22,-55.64,43,2.35,0.22,2.02,0.22,15.2,0.15,dm,2,II,0,0.001,2.375000000000000,-0.617500000000000
9105,511,286,9105,174.22,-60.01,14,1.97,0.12,1.69,0.12,15.9,0.13,cd,1,II,0,0.001,2.398944444440000,-6.704166666670000
9122,512,285,9122,144.24,-25.39,160,1.15,0.11,1.05,0.11,16.5,0.32,cd,1,III,1,0.001,2.405027777780000,33.609166666700000
9125,513,238E,9125,244.36,-68.20,85,0.96,0.09,0.97,0.09,16.6,0.10,c,0,II,1,"Slightly curved faint ends",2.406472222220000,-36.565000000000000
9134,514,287,9134,145.16,-27.21,121,2.24,0.25,2.35,0.24,15.0,0.31,d,0,II,0,"Blue knots",2.408833333330000,31.615833333300000
9169,516,290,9169,151.24,-37.97,23,1.34,0.17,1.23,0.20,16.0,0.90,bc,1,III,1,"Compan.with bridge at 1.0 N",2.416805555560000,19.701944444400000
9186,517,289,9186,139.68,-14.35,55,2.02,0.20,1.93,0.22,15.3,0.41,cd,0,II,0,0.001,2.420861111110000,45.453333333300000
9191,518,240E,9191,281.04,-55.23,12,1.36,0.16,1.26,0.12,15.9,0.16,c,0,II,0,"Curved faint ends",2.421611111110000,-57.723055555600000
9210,519,239E,9210,265.30,-63.22,73,0.83,0.10,0.86,0.10,16.5,0.05,cd,1,I,1,"Compan.at 0.9S.Badge on W end",2.425722222220000,-46.436944444400000
9277,522,292,9277,149.79,-34.87,51,1.27,0.17,1.21,0.19,16.1,0.53,bc,2,III,2,"Companion at 2.0 SE",2.440472222220000,22.996944444400000
9289,523,293,9289,166.29,-54.01,131,1.18,0.10,1.06,0.11,16.5,0.13,c,0,II,0,0.001,2.443472222220000,0.648611111111000
9317,524,241E,9317,217.61,-68.74,96,0.76,0.09,0.75,0.09,16.8,0.07,cd,1,II,0,0.001,2.450000000000000,-26.826111111100000
9321,525,295,9321,170.13,-56.54,70,1.29,0.17,1.10,0.17,15.9,0.11,dm,2,II,2,0.001,2.450055555560000,-2.695000000000000
9375,528,296,9375,145.83,-26.82,2,2.39,0.34,1.98,0.29,14.8,0.34,d,0,II,0,Bluish,2.463805555560000,31.726666666700000
9391,529,297,0.001,140.90,-15.88,75,1.15,0.09,1.10,0.10,16.6,0.40,dm,0,III,0,S-shaped,2.469916666670000,43.590277777800000
9413,531,299,9413,154.66,-41.21,137,1.90,0.13,1.79,0.15,15.9,0.94,cd,0,III,0,0.001,2.474277777780000,15.606944444400000
9429,532,244E,9429,261.52,-63.78,95,1.13,0.13,0.97,0.13,16.3,0.07,cd,0,II,0,"Different brightness of arms",2.477388888890000,-44.746111111100000
9481,535,246E,9481,250.66,-66.16,136,1.08,0.13,1.05,0.13,16.1,0.08,bc,0,I,1,0.001,2.491222222220000,-39.582222222200000
9510,538,303,9510,149.46,-32.49,20,2.13,0.27,2.02,0.28,15.2,0.50,c,0,III,1,"Dust lane",2.498388888890000,25.256388888900000
9562,543,249E,9562,242.71,-67.05,100,0.68,0.09,0.67,0.10,16.9,0.13,c,0,II,0,"Interact.w. gal. on E side",2.512666666670000,-36.316111111100000
9577,544,305,9577,141.47,-15.91,129,1.27,0.11,1.34,0.13,16.2,0.34,bc,0,II,5,"Group of galaxies to NE",2.514666666670000,43.350000000000000
9605,546,307,9605,153.50,-38.09,151,1.25,0.15,1.21,0.17,15.9,0.50,c,0,I,1,"Companion at 2.5E",2.524527777780000,18.768888888900000
9638,547,309,9638,153.38,-37.71,93,4.03,0.56,3.70,0.67,14.1,0.43,bc,2,III,0,"Dust patches.Wavy.Curved W end",2.531277777780000,19.153055555600000
9681,548,250E,9681,233.86,-67.40,103,0.89,0.09,0.87,0.09,16.7,0.10,c,1,II,4,"Neighbour 0.2 at 0.3 NW",2.544194444440000,-32.895833333300000
9725,551,312,9725,150.13,-31.93,34,1.42,0.16,1.37,0.17,15.9,0.49,bc,0,II,0,"Dust lane",2.554000000000000,25.506111111100000
9795,553,314,9795,146.87,-25.54,48,4.03,0.47,4.03,0.53,14.0,0.41,bc,0,II,5,"Dust lane",2.572361111110000,32.505833333300000
9880,557,319,9880,170.88,-53.52,76,1.23,0.11,1.12,0.12,16.5,0.11,c,1,III,1,"Compan. w. bar at 1.3 NE",2.603888888890000,-0.697777777778000
9888,558,317,9888,150.89,-31.70,133,5.94,0.78,5.71,0.90,13.2,0.77,c,0,III,0,0.001,2.604527777780000,25.423611111100000
9904,560,320,9904,163.17,-47.18,31,2.89,0.22,2.84,0.22,15.0,0.56,cd,0,II,1,"Dust lane",2.608805555560000,7.309722222220000
9952,564,322,9952,142.94,-16.07,162,2.07,0.24,2.04,0.26,15.2,0.31,bc,1,II,1,"Compact compan. at 2.0N",2.627055555560000,42.636111111100000
9962,566,255E,9962,282.79,-51.43,42,5.79,0.61,5.32,0.76,13.3,0.10,cd,1,I,0,"Dust. Knots",2.630027777780000,-61.338333333300000
9995,568,325,9995,168.35,-50.89,124,1.55,0.22,1.57,0.27,15.5,0.14,b,0,II,5,0.001,2.638611111110000,2.309722222220000
10038,571,327,10038,191.28,-61.88,50,1.37,0.18,1.29,0.18,15.8,0.10,c,2,II,2,"Interacting. Blue knots",2.649388888890000,-14.321111111100000
10126,572,328,10126,149.37,-27.13,128,1.14,0.12,1.18,0.15,16.2,0.78,d,1,II,0,0.001,2.674333333330000,30.080000000000000
10159,573,261E,10159,291.29,-43.24,70,0.73,0.07,0.75,0.09,17.1,0.11,c,0,II,1,0.001,2.679583333330000,-71.326944444400000
10163,574,257E,10163,211.07,-65.09,6,1.16,0.12,1.06,0.12,16.4,0.10,cd,0,III,1,"Diffuse disk. In cluster",2.681666666670000,-23.661944444400000
10218,579,329,10218,148.66,-25.21,154,1.61,0.17,1.57,0.20,15.8,0.74,cd,1,III,0,"E print is out of focus",2.698666666670000,32.088055555600000
10224,581,334,10224,172.91,-52.68,50,0.99,0.13,0.95,0.15,16.3,0.14,cd,0,II,2,0.001,2.701722222220000,-0.893333333333000
10260,583,263E,10260,280.68,-52.03,63,0.99,0.12,0.97,0.11,16.4,0.14,c,0,II,3,"Dust. Knots. Diffuse ends",2.710472222220000,-60.023055555600000
10331,586,337,10331,148.83,-24.67,99,2.02,0.28,1.96,0.30,15.2,0.98,c,2,III,7,"Right side is wavy curved",2.729000000000000,32.496111111100000
10341,587,338,10341,165.88,-46.64,172,1.48,0.21,1.27,0.19,15.5,0.51,c,2,I,2,"Component of a triplet",2.730277777780000,6.643055555560000
10407,589,339,10407,150.18,-26.42,79,1.57,0.13,1.12,0.17,16.3,0.85,cd,0,III,0,"E print is out of focus",2.749472222220000,30.378055555600000
10410,590,264E,10410,217.94,-64.69,73,1.18,0.16,1.14,0.19,16.0,0.08,c,0,II,2,0.001,2.751138888890000,-26.450000000000000
10571,594,344,10571,201.88,-62.06,6,1.25,0.17,1.23,0.19,16.0,0.12,dm,0,III,0,"Slightly wavy",2.795222222220000,-18.840277777800000
10598,596,266E,10598,225.60,-64.28,177,1.16,0.16,1.14,0.11,16.0,0.09,bc,0,II,2,0.001,2.801861111110000,-29.703888888900000
10605,597,267E,10605,251.83,-62.07,41,1.49,0.17,1.16,0.17,16.1,0.05,b,0,III,1,"Interacted. Curved ELSB arms",2.804361111110000,-41.653888888900000
10624,598,268E,10624,249.60,-62.43,54,2.44,0.21,2.15,0.21,15.1,0.09,c,0,I,0,0.001,2.807722222220000,-40.556111111100000
10640,599,269E,10640,241.03,-63.50,37,1.27,0.17,1.06,0.19,16.0,0.09,bc,1,II,1,"Faint fluffy ends",2.812083333330000,-36.517500000000000
10673,600,346,10673,183.73,-56.11,18,3.10,0.35,2.80,0.43,14.5,0.17,dm,2,II,0,Knotty,2.819277777780000,-7.837500000000000
10766,603,347,10766,185.12,-56.35,96,2.55,0.25,2.60,0.27,15.1,0.14,bc,0,III,0,"Sharp buldge. Dust lane",2.838194444440000,-8.597222222220000
10817,604,348,10817,182.72,-55.01,6,1.29,0.11,1.20,0.11,16.3,0.18,cd,0,II,1,0.001,2.852805555560000,-6.706388888890000
10837,606,271E,10837,226.79,-63.54,155,1.14,0.16,1.16,0.11,15.9,0.07,bc,0,I,2,0.001,2.859722222220000,-30.211944444400000
10846,607,352,10846,201.17,-60.90,20,0.85,0.10,0.88,0.11,16.6,0.12,d,1,II,0,0.001,2.861111111110000,-18.070555555600000
10852,608,273E,10852,257.62,-60.10,83,0.88,0.10,0.89,0.12,16.6,0.05,cd,0,II,0,0.001,2.863333333330000,-45.016111111100000
10855,610,350,10855,162.19,-39.60,123,1.06,0.15,0.90,0.17,16.2,0.55,bc,1,II,3,0.001,2.867194444440000,13.903055555600000
10858,609,272E,10858,233.78,-63.33,6,2.63,0.35,2.44,0.35,14.7,0.10,c,1,II,0,Two-layers,2.866277777780000,-33.340000000000000
10875,611,354,10875,185.56,-55.89,96,1.88,0.26,1.88,0.31,15.4,0.22,b,0,III,0,"Faint disk and sharp red nucl.",2.873138888890000,-8.510555555560000
10896,613,353,10896,145.76,-15.18,40,1.09,0.11,1.01,0.12,16.4,0.41,c,1,II,2,"Sp. gal. 2.0 at 2.5 S",2.882361111110000,42.243055555600000
10898,614,275E,10898,215.09,-62.66,119,1.18,0.13,1.16,0.13,16.2,0.07,b,0,II,2,0.001,2.883055555560000,-24.861944444400000
10952,619,358,10952,164.47,-41.00,175,1.68,0.19,1.46,0.21,15.6,0.92,cd,1,II,2,0.001,2.906611111110000,11.748055555600000
10956,620,355,10956,145.81,-14.69,125,2.43,0.15,2.43,0.16,15.4,0.43,d,0,II,1,"Compan. 1.0 at 5.0 N",2.907388888890000,42.650000000000000
10965,621,360,10965,202.78,-60.48,58,3.70,0.45,3.53,0.48,14.2,0.13,c,0,II,0,0.001,2.909472222220000,-18.635277777800000
10973,622,359,10973,166.51,-42.85,39,1.15,0.11,1.23,0.12,16.2,1.02,d,1,II,2,0.001,2.911000000000000,9.355833333330000
11067,625,363,11067,174.68,-48.88,9,1.23,0.11,1.46,0.13,16.1,0.38,d,0,II,0,0.001,2.930277777780000,1.079444444440000
11087,627,361,11087,148.92,-19.44,140,1.37,0.10,1.23,0.10,16.3,0.50,d,0,II,2,"V.diffuse.Compan.1.0 at 5.0SE",2.935833333330000,37.056666666700000
11237,632,366,11237,149.60,-19.72,88,1.34,0.17,1.23,0.17,16.2,0.65,c,0,IV,2,"Star proj. near center",2.971000000000000,36.500000000000000
11252,633,368,11252,172.51,-46.43,13,3.02,0.40,2.80,0.39,14.4,0.63,cd,0,II,0,0.001,2.972805555560000,3.861944444440000
11275,635,292E,11275,297.79,-33.90,135,0.73,0.08,0.86,0.12,16.9,0.33,c,0,II,0,0.001,2.982833333330000,-81.910000000000000
11282,634,364,11282,130.66,14.82,10,4.37,0.34,4.76,0.31,14.4,2.30,dm,0,IV,0,"Blue without condensations",2.980972222220000,75.744444444400000
11286,636,283E,11286,274.76,-52.52,110,1.14,0.16,0.97,0.12,16.1,0.06,c,0,II,3,"Diffuse ends",2.983472222220000,-57.058055555600000
11359,640,373,11359,201.17,-58.63,143,2.91,0.37,2.40,0.39,14.7,0.13,b,0,II,0,0.001,3.006138888890000,-17.153055555600000
11368,642,371,11368,143.67,-8.56,62,2.37,0.17,3.14,0.29,15.4,1.96,dm,2,IV,1,"Slightly curved. A star proj.",3.010027777780000,49.043055555600000
11385,644,284E,11385,223.46,-61.44,159,0.78,0.10,0.75,0.09,16.7,0.08,d,0,II,2,"Slightly loose",3.014333333330000,-28.571111111100000
11400,646,377,11400,179.45,-50.00,32,1.05,0.15,0.84,0.16,16.2,0.40,cd,1,II,0,0.001,3.019722222220000,-1.933333333330000
11422,650,289E,11422,265.55,-55.88,47,0.73,0.09,0.67,0.11,16.8,0.09,bc,0,I,1,Knots,3.027500000000000,-50.734444444400000
11471,653,379,11471,145.24,-10.68,112,1.20,0.12,1.22,0.12,16.3,0.88,d,0,III,2,"Nearest compan. at 1.7NE",3.042500000000000,46.438611111100000
11594,657,384,11594,195.31,-55.73,131,1.15,0.12,1.14,0.16,16.4,0.30,c,0,III,2,"Compact compan.or star proj.",3.085666666670000,-13.005000000000000
11598,658,383,11598,177.12,-47.22,174,1.68,0.22,1.57,0.22,15.6,0.34,c,1,III,1,0.001,3.085805555560000,1.093611111110000
11601,661,295E,11601,278.23,-49.64,41,0.90,0.09,0.91,0.09,16.7,0.09,d,0,II,0,"Curved. Galaxy at 2.0W",3.086805555560000,-60.581944444400000
11663,662,296E,11663,240.11,-59.94,158,1.18,0.16,1.00,0.11,16.1,0.10,c,0,II,1,"Slightly curved ends",3.110138888890000,-36.746944444400000
11679,663,385,11679,151.38,-19.10,68,1.96,0.21,1.96,0.24,15.5,1.12,bc,1,III,1,0.001,3.116861111110000,36.168055555600000
11710,664,297E,11710,265.43,-54.83,42,1.01,0.13,1.18,0.18,16.3,0.09,ab,0,II,1,0.001,3.126666666670000,-51.210833333300000
11770,668,386,11770,133.95,10.69,143,1.68,0.24,1.79,0.27,15.5,3.92,b,0,III,0,"Br.red nucl.cutted by dust",3.148555555560000,70.563611111100000
11808,671,390,11808,163.03,-33.40,18,1.55,0.18,1.48,0.18,15.7,0.49,cd,1,II,0,0.001,3.160277777780000,18.500000000000000
11809,670,391,11809,203.98,-56.88,110,1.18,0.13,1.12,0.15,16.3,0.16,dm,1,III,0,0.001,3.160277777780000,-17.831944444400000
11908,676,395,11908,178.81,-46.05,134,1.06,0.07,1.18,0.09,16.8,0.51,d,0,III,0,0.001,3.195805555560000,1.044722222220000
